Month,Country,Value
01/07/15,Colombia,5
01/08/15,Colombia,10
01/09/15,Colombia,2
01/10/15,Colombia,7
01/11/15,Colombia,2
01/12/15,Colombia,0
01/01/16,Colombia,3
01/02/16,Colombia,13
01/03/16,Colombia,7
01/04/16,Colombia,7
01/05/16,Colombia,5
01/06/16,Colombia,0
01/07/16,Colombia,8
01/08/16,Colombia,3
01/09/16,Colombia,8
01/10/16,Colombia,3
01/11/16,Colombia,3
01/12/16,Colombia,6
01/01/17,Colombia,8
01/02/17,Colombia,0
01/03/17,Colombia,0
01/04/17,Colombia,3
01/05/17,Colombia,0
01/06/17,Colombia,0
01/07/17,Colombia,0
01/08/17,Colombia,10
01/09/17,Colombia,5
01/10/17,Colombia,0
01/11/17,Colombia,10
01/12/17,Colombia,3
01/01/18,Colombia,6
01/02/18,Colombia,7
01/03/18,Colombia,2
01/04/18,Colombia,5
01/05/18,Colombia,7
01/06/18,Colombia,3
01/07/18,Colombia,17
01/08/18,Colombia,7
01/09/18,Colombia,5
01/10/18,Colombia,5
01/11/18,Colombia,5
01/12/18,Colombia,6
01/01/19,Colombia,8
01/02/19,Colombia,18
01/03/19,Colombia,2
01/04/19,Colombia,5
01/05/19,Colombia,7
01/06/19,Colombia,5
01/07/19,Colombia,7
01/08/19,Colombia,16
01/09/19,Colombia,2
01/10/19,Colombia,4
01/11/19,Colombia,7
01/12/19,Colombia,10
01/01/20,Colombia,2
01/02/20,Colombia,2
01/03/20,Colombia,21
01/04/20,Colombia,8
01/05/20,Colombia,17
01/06/20,Colombia,18
01/07/20,Colombia,12
01/08/20,Colombia,13
01/09/20,Colombia,3
01/10/20,Colombia,8
01/11/20,Colombia,0
01/12/20,Colombia,7
01/01/21,Colombia,13
01/02/21,Colombia,4
01/03/21,Colombia,7
01/04/21,Colombia,11
01/05/21,Colombia,7
01/06/21,Colombia,15
01/07/21,Colombia,15
01/08/21,Colombia,11
01/09/21,Colombia,15
01/10/21,Colombia,11
01/01/04,France,0
01/02/04,France,43
01/03/04,France,0
01/04/04,France,0
01/05/04,France,0
01/06/04,France,63
01/07/04,France,0
01/08/04,France,0
01/09/04,France,29
01/10/04,France,0
01/11/04,France,0
01/12/04,France,100
01/01/05,France,0
01/02/05,France,23
01/03/05,France,0
01/04/05,France,0
01/05/05,France,0
01/06/05,France,54
01/07/05,France,20
01/08/05,France,0
01/09/05,France,0
01/10/05,France,0
01/11/05,France,15
01/12/05,France,14
01/01/06,France,24
01/02/06,France,13
01/03/06,France,11
01/04/06,France,0
01/05/06,France,11
01/06/06,France,21
01/07/06,France,12
01/08/06,France,22
01/09/06,France,19
01/10/06,France,17
01/11/06,France,25
01/12/06,France,8
01/01/07,France,7
01/02/07,France,0
01/03/07,France,40
01/04/07,France,28
01/05/07,France,30
01/06/07,France,6
01/07/07,France,13
01/08/07,France,7
01/09/07,France,24
01/10/07,France,11
01/11/07,France,0
01/12/07,France,0
01/01/08,France,0
01/02/08,France,15
01/03/08,France,14
01/04/08,France,9
01/05/08,France,5
01/06/08,France,5
01/07/08,France,31
01/08/08,France,17
01/09/08,France,5
01/10/08,France,4
01/11/08,France,4
01/12/08,France,0
01/01/09,France,24
01/02/09,France,8
01/03/09,France,15
01/04/09,France,4
01/05/09,France,8
01/06/09,France,15
01/07/09,France,12
01/08/09,France,4
01/09/09,France,11
01/10/09,France,7
01/11/09,France,21
01/12/09,France,3
01/01/10,France,13
01/02/10,France,4
01/03/10,France,16
01/04/10,France,7
01/05/10,France,14
01/06/10,France,3
01/07/10,France,0
01/08/10,France,14
01/09/10,France,6
01/10/10,France,9
01/11/10,France,6
01/12/10,France,6
01/01/11,France,9
01/02/11,France,7
01/03/11,France,11
01/04/11,France,2
01/05/11,France,5
01/06/11,France,14
01/07/11,France,5
01/08/11,France,8
01/09/11,France,14
01/10/11,France,13
01/11/11,France,13
01/12/11,France,17
01/01/12,France,8
01/02/12,France,4
01/03/12,France,8
01/04/12,France,6
01/05/12,France,8
01/06/12,France,2
01/07/12,France,11
01/08/12,France,2
01/09/12,France,15
01/10/12,France,9
01/11/12,France,13
01/12/12,France,6
01/01/13,France,7
01/02/13,France,8
01/03/13,France,5
01/04/13,France,12
01/05/13,France,10
01/06/13,France,7
01/07/13,France,11
01/08/13,France,0
01/09/13,France,9
01/10/13,France,3
01/11/13,France,7
01/12/13,France,12
01/01/14,France,8
01/02/14,France,9
01/03/14,France,6
01/04/14,France,3
01/05/14,France,8
01/06/14,France,6
01/07/14,France,4
01/08/14,France,8
01/09/14,France,2
01/10/14,France,7
01/11/14,France,9
01/12/14,France,8
01/01/15,France,5
01/02/15,France,4
01/03/15,France,6
01/04/15,France,12
01/05/15,France,3
01/06/15,France,7
01/07/15,France,2
01/08/15,France,19
01/09/15,France,11
01/10/15,France,4
01/11/15,France,12
01/12/15,France,6
01/01/16,France,8
01/02/16,France,11
01/03/16,France,15
01/04/16,France,9
01/05/16,France,9
01/06/16,France,5
01/07/16,France,4
01/08/16,France,8
01/09/16,France,7
01/10/16,France,17
01/11/16,France,8
01/12/16,France,11
01/01/17,France,3
01/02/17,France,12
01/03/17,France,6
01/04/17,France,9
01/05/17,France,6
01/06/17,France,10
01/07/17,France,13
01/08/17,France,6
01/09/17,France,11
01/10/17,France,1
01/11/17,France,9
01/12/17,France,11
01/01/18,France,10
01/02/18,France,3
01/03/18,France,8
01/04/18,France,5
01/05/18,France,9
01/06/18,France,12
01/07/18,France,4
01/08/18,France,12
01/09/18,France,9
01/10/18,France,13
01/11/18,France,9
01/12/18,France,6
01/01/19,France,13
01/02/19,France,9
01/03/19,France,11
01/04/19,France,9
01/05/19,France,11
01/06/19,France,7
01/07/19,France,13
01/08/19,France,12
01/09/19,France,8
01/10/19,France,13
01/11/19,France,13
01/12/19,France,7
01/01/20,France,11
01/02/20,France,17
01/03/20,France,15
01/04/20,France,17
01/05/20,France,16
01/06/20,France,10
01/07/20,France,14
01/08/20,France,9
01/09/20,France,9
01/10/20,France,9
01/11/20,France,12
01/12/20,France,10
01/01/21,France,10
01/02/21,France,6
01/03/21,France,5
01/04/21,France,10
01/05/21,France,9
01/06/21,France,8
01/07/21,France,8
01/08/21,France,10
01/09/21,France,6
01/10/21,France,7
01/01/04,Germany,35
01/02/04,Germany,38
01/03/04,Germany,48
01/04/04,Germany,39
01/05/04,Germany,34
01/06/04,Germany,67
01/07/04,Germany,69
01/08/04,Germany,100
01/09/04,Germany,0
01/10/04,Germany,32
01/11/04,Germany,94
01/12/04,Germany,29
01/01/05,Germany,24
01/02/05,Germany,80
01/03/05,Germany,24
01/04/05,Germany,26
01/05/05,Germany,24
01/06/05,Germany,45
01/07/05,Germany,45
01/08/05,Germany,66
01/09/05,Germany,42
01/10/05,Germany,60
01/11/05,Germany,19
01/12/05,Germany,0
01/01/06,Germany,47
01/02/06,Germany,33
01/03/06,Germany,71
01/04/06,Germany,32
01/05/06,Germany,15
01/06/06,Germany,15
01/07/06,Germany,88
01/08/06,Germany,53
01/09/06,Germany,54
01/10/06,Germany,49
01/11/06,Germany,46
01/12/06,Germany,12
01/01/07,Germany,29
01/02/07,Germany,75
01/03/07,Germany,29
01/04/07,Germany,85
01/05/07,Germany,27
01/06/07,Germany,64
01/07/07,Germany,27
01/08/07,Germany,18
01/09/07,Germany,70
01/10/07,Germany,48
01/11/07,Germany,29
01/12/07,Germany,49
01/01/08,Germany,35
01/02/08,Germany,23
01/03/08,Germany,79
01/04/08,Germany,51
01/05/08,Germany,83
01/06/08,Germany,60
01/07/08,Germany,29
01/08/08,Germany,66
01/09/08,Germany,28
01/10/08,Germany,45
01/11/08,Germany,46
01/12/08,Germany,62
01/01/09,Germany,30
01/02/09,Germany,52
01/03/09,Germany,29
01/04/09,Germany,27
01/05/09,Germany,37
01/06/09,Germany,54
01/07/09,Germany,29
01/08/09,Germany,30
01/09/09,Germany,57
01/10/09,Germany,55
01/11/09,Germany,22
01/12/09,Germany,68
01/01/10,Germany,41
01/02/10,Germany,55
01/03/10,Germany,35
01/04/10,Germany,43
01/05/10,Germany,37
01/06/10,Germany,44
01/07/10,Germany,42
01/08/10,Germany,46
01/09/10,Germany,45
01/10/10,Germany,39
01/11/10,Germany,33
01/12/10,Germany,48
01/01/11,Germany,32
01/02/11,Germany,19
01/03/11,Germany,40
01/04/11,Germany,24
01/05/11,Germany,15
01/06/11,Germany,35
01/07/11,Germany,38
01/08/11,Germany,26
01/09/11,Germany,26
01/10/11,Germany,36
01/11/11,Germany,31
01/12/11,Germany,24
01/01/12,Germany,33
01/02/12,Germany,30
01/03/12,Germany,52
01/04/12,Germany,33
01/05/12,Germany,39
01/06/12,Germany,42
01/07/12,Germany,38
01/08/12,Germany,20
01/09/12,Germany,33
01/10/12,Germany,41
01/11/12,Germany,41
01/12/12,Germany,29
01/01/13,Germany,28
01/02/13,Germany,49
01/03/13,Germany,26
01/04/13,Germany,36
01/05/13,Germany,30
01/06/13,Germany,31
01/07/13,Germany,11
01/08/13,Germany,25
01/09/13,Germany,36
01/10/13,Germany,58
01/11/13,Germany,29
01/12/13,Germany,22
01/01/14,Germany,29
01/02/14,Germany,47
01/03/14,Germany,54
01/04/14,Germany,36
01/05/14,Germany,35
01/06/14,Germany,21
01/07/14,Germany,53
01/08/14,Germany,38
01/09/14,Germany,57
01/10/14,Germany,30
01/11/14,Germany,46
01/12/14,Germany,44
01/01/15,Germany,27
01/02/15,Germany,28
01/03/15,Germany,38
01/04/15,Germany,24
01/05/15,Germany,21
01/06/15,Germany,42
01/07/15,Germany,36
01/08/15,Germany,57
01/09/15,Germany,32
01/10/15,Germany,50
01/11/15,Germany,25
01/12/15,Germany,24
01/01/16,Germany,48
01/02/16,Germany,34
01/03/16,Germany,37
01/04/16,Germany,37
01/05/16,Germany,31
01/06/16,Germany,48
01/07/16,Germany,30
01/08/16,Germany,24
01/09/16,Germany,23
01/10/16,Germany,52
01/11/16,Germany,57
01/12/16,Germany,27
01/01/17,Germany,31
01/02/17,Germany,42
01/03/17,Germany,49
01/04/17,Germany,33
01/05/17,Germany,42
01/06/17,Germany,53
01/07/17,Germany,49
01/08/17,Germany,44
01/09/17,Germany,54
01/10/17,Germany,37
01/11/17,Germany,58
01/12/17,Germany,50
01/01/18,Germany,46
01/02/18,Germany,46
01/03/18,Germany,29
01/04/18,Germany,29
01/05/18,Germany,39
01/06/18,Germany,34
01/07/18,Germany,50
01/08/18,Germany,32
01/09/18,Germany,26
01/10/18,Germany,23
01/11/18,Germany,27
01/12/18,Germany,42
01/01/19,Germany,42
01/02/19,Germany,34
01/03/19,Germany,36
01/04/19,Germany,33
01/05/19,Germany,49
01/06/19,Germany,56
01/07/19,Germany,34
01/08/19,Germany,31
01/09/19,Germany,48
01/10/19,Germany,34
01/11/19,Germany,28
01/12/19,Germany,33
01/01/20,Germany,42
01/02/20,Germany,37
01/03/20,Germany,65
01/04/20,Germany,78
01/05/20,Germany,58
01/06/20,Germany,51
01/07/20,Germany,54
01/08/20,Germany,54
01/09/20,Germany,59
01/10/20,Germany,30
01/11/20,Germany,64
01/12/20,Germany,40
01/01/21,Germany,57
01/02/21,Germany,65
01/03/21,Germany,48
01/04/21,Germany,53
01/05/21,Germany,53
01/06/21,Germany,31
01/07/21,Germany,44
01/08/21,Germany,32
01/09/21,Germany,47
01/10/21,Germany,20
01/01/04,India,44
01/02/04,India,59
01/03/04,India,74
01/04/04,India,72
01/05/04,India,24
01/06/04,India,33
01/07/04,India,32
01/08/04,India,70
01/09/04,India,60
01/10/04,India,11
01/11/04,India,12
01/12/04,India,38
01/01/05,India,73
01/02/05,India,38
01/03/05,India,72
01/04/05,India,19
01/05/05,India,80
01/06/05,India,74
01/07/05,India,77
01/08/05,India,77
01/09/05,India,100
01/10/05,India,46
01/11/05,India,62
01/12/05,India,79
01/01/06,India,45
01/02/06,India,46
01/03/06,India,74
01/04/06,India,51
01/05/06,India,55
01/06/06,India,54
01/07/06,India,56
01/08/06,India,54
01/09/06,India,36
01/10/06,India,46
01/11/06,India,53
01/12/06,India,66
01/01/07,India,38
01/02/07,India,35
01/03/07,India,52
01/04/07,India,40
01/05/07,India,41
01/06/07,India,45
01/07/07,India,48
01/08/07,India,50
01/09/07,India,45
01/10/07,India,47
01/11/07,India,41
01/12/07,India,45
01/01/08,India,34
01/02/08,India,40
01/03/08,India,50
01/04/08,India,26
01/05/08,India,59
01/06/08,India,31
01/07/08,India,41
01/08/08,India,48
01/09/08,India,29
01/10/08,India,36
01/11/08,India,37
01/12/08,India,30
01/01/09,India,42
01/02/09,India,40
01/03/09,India,30
01/04/09,India,40
01/05/09,India,52
01/06/09,India,39
01/07/09,India,39
01/08/09,India,41
01/09/09,India,41
01/10/09,India,28
01/11/09,India,27
01/12/09,India,30
01/01/10,India,41
01/02/10,India,31
01/03/10,India,33
01/04/10,India,26
01/05/10,India,35
01/06/10,India,27
01/07/10,India,33
01/08/10,India,23
01/09/10,India,24
01/10/10,India,28
01/11/10,India,31
01/12/10,India,33
01/01/11,India,25
01/02/11,India,31
01/03/11,India,24
01/04/11,India,27
01/05/11,India,26
01/06/11,India,31
01/07/11,India,26
